name,tags
FAR: Lone Sails,"Atmospheric,Adventure,Post-apocalyptic,Singleplayer,Exploration,2.5D,Puzzle,Driving,Indie,Short,Action,Story Rich,Puzzle Platformer,Survival,Platformer,Steampunk,Action-Adventure,Nature,Experience,Cinematic"
Songs of Conquest,"Early Access,Strategy,Turn-Based Strategy,Adventure,Turn-Based Combat,Pixel Graphics,Turn-Based Tactics,Fantasy,Strategy RPG,Atmospheric,Old School,Singleplayer,Story Rich,Multiplayer,Tactical RPG,Tactical,PvP,Online Co-Op,2.5D,Local Multiplayer"
Backrooms: Escape Together,"Multiplayer,Psychological Horror,Mystery,Survival Horror,Horror,Atmospheric,Early Access,Realistic,Online Co-Op,Procedural Generation,First-Person,Casual,Adventure,Action,Co-op,Exploration,3D,Singleplayer,Action-Adventure,Sci-fi"
Library Of Ruina,"Story Rich,Strategy,Card Game,Difficult,Deckbuilding,Turn-Based Combat,Singleplayer,Indie,Psychological Horror,Visual Novel,Gore,Turn-Based,Great Soundtrack,RPG,Card Battler,Anime,Horror,2D,Turn-Based Strategy,Action"
"Warhammer 40,000: Darktide - Imperial Edition","Action,Adventure,Indie,Gore,Violent,Early Access,Warhammer 40K"
American Truck Simulator - Montana,"Simulation,Indie,Driving,Open World"
The Surge,"Souls-like,Action,RPG,Sci-fi,Difficult,Third Person,Singleplayer,Mechs,Violent,Hack and Slash,Robots,Open World,Exploration,Cyberpunk,Action RPG,Gore,Adventure,Horror,Futuristic,Atmospheric"
SOMA,"Horror,Psychological Horror,Atmospheric,Survival Horror,Exploration,Dark,Gore,Lovecraftian,First-Person,Puzzle,Sci-fi,Story Rich,Adventure,Indie,Singleplayer,Walking Simulator,Action,Mystery,Philosophical,Drama"
FOREWARNED,"Horror,Online Co-Op,Survival Horror,Co-op,Multiplayer,Psychological Horror,VR,PvE,Survival,Asymmetric VR,Action-Adventure,Dark,Atmospheric,PvP,Exploration,First-Person,Adventure,Action,3D,Early Access"
Sally Face - Season Pass,"Indie,Adventure,Story Rich,Psychological Horror,Horror,Puzzle,Singleplayer,Atmospheric,Great Soundtrack,Dark,Narrative"
For The King: Lost Civilization Adventure Pack,"Adventure,RPG,Indie,Strategy,Turn-Based,Tabletop,Board Game,Party-Based RPG,Roguelike,Multiplayer,Strategy RPG"
Vampire Survivors: Legacy of the Moonspell,"Action,Indie,Casual,RPG,Bullet Hell,Roguelike,Singleplayer"
X-Plane 11,"Simulation,Flight,Realistic,Open World,Multiplayer,VR,Singleplayer,Physics,First-Person,Sandbox,Atmospheric,Adventure,Family Friendly,Third Person,Education,Action,Exploration,Beautiful,Massively Multiplayer,Controller"
Black Book,"Card Battler,Turn-Based Tactics,Card Game,Dungeon Crawler,Turn-Based,Roguelite,Female Protagonist,Roguelike,Strategy RPG,RPG,Mythology,Choices Matter,Strategy,Deckbuilding,3D,Story Rich,Open World,Dark Fantasy,Turn-Based Combat,Fantasy"
Europa Universalis IV: Domination,"Strategy,Simulation,Grand Strategy,Historical,Sexual Content,Alternate History,Early Access,Memes"
Volcano Princess,"Life Sim,Multiple Endings,Simulation,Anime,RPG,Choices Matter,Singleplayer,Story Rich,Indie,Choose Your Own Adventure,Female Protagonist,JRPG,Cute,Strategy,Time Management,Turn-Based Combat,Hand-drawn,Medieval,2D,Fantasy"
Honkai Impact 3rd,"Anime,Action,RPG,Adventure,3D Fighter,JRPG,Action RPG,Third Person,3D Platformer,3D Vision,Exploration,Colorful,Top-Down,Drama,Story Rich,Post-apocalyptic,Artificial Intelligence,Lore-Rich,Mechs,Alternate History"
The Legend of Heroes: Trails into Reverie,"RPG,JRPG,Party-Based RPG,Anime,Story Rich,3D,Turn-Based Combat,Singleplayer,Great Soundtrack"
The Riftbreaker: Into The Dark,"Strategy,Action,Simulation,Indie,Adventure,RPG"
Ultimate Admiral: Dreadnoughts,"Naval Combat,Naval,Wargame,Military,Building,Historical,Simulation,Strategy,World War II,War,World War I,Grand Strategy,RTS,Turn-Based Strategy,Strategy RPG,Submarine,Sandbox,RPG,Economy,Realistic"
"YEAH! YOU WANT ""THOSE GAMES,"" RIGHT? SO HERE YOU GO! NOW, LET'S SEE YOU CLEAR THEM!","Casual,Puzzle,Puzzle Platformer,Cute,Funny,Comedy,Parody,Relaxing,2D,3D,Solitaire,Runner,Loot,Family Friendly,Education,Controller,Score Attack,Tutorial,Physics,Singleplayer"
Roots of Pacha,"Pixel Graphics,Farming Sim,Life Sim,Romance,RPG,Building,Exploration,Agriculture,Relaxing,Crafting,Sandbox,Simulation,Cute,Cozy,Online Co-Op,Controller,Co-op,Singleplayer,Character Customization,Multiplayer"
Car Mechanic Simulator 2021 - Dodge | Plymouth | Chrysler Remastered DLC,"Simulation,Racing,Moddable,Sandbox,Realistic,Immersive Sim"
Do Not Feed the Monkeys,"Point & Click,Political Sim,Management,2D,Dark Humor,Strategy,Multiple Endings,Funny,Choices Matter,Story Rich,Pixel Graphics,Simulation,Adventure,Dystopian,Resource Management,Atmospheric,Singleplayer,Nudity,Sexual Content,Mature"
Milk outside a bag of milk outside a bag of milk,"Psychological Horror,Visual Novel,Psychedelic,Pixel Graphics,Story Rich,Abstract,2D,Multiple Endings,Indie,Text-Based,Psychological,Singleplayer,Horror,Surreal,Anime,Great Soundtrack,Female Protagonist,Casual,Choices Matter,Point & Click"
ONE PIECE ODYSSEY,"Open World,JRPG,Anime,Turn-Based Combat,Story Rich,Party-Based RPG,Comedy,Team-Based,RPG,Pirates,Singleplayer,3D,Funny,Adventure,Cartoony,Third Person,Exploration,Colorful,Mystery,Action-Adventure"
Lobotomy Corporation | Monster Management Simulation,"Management,Difficult,Simulation,Story Rich,Horror,Psychological Horror,Gore,Indie,Great Soundtrack,Strategy,Singleplayer,2D,Cute,Lovecraftian,Anime,Atmospheric,RTS,Roguelike,Roguelite,Visual Novel"
Diplomacy is Not an Option,"Early Access,Strategy,Tower Defense,City Builder,Colony Sim,Sandbox,War,RTS,Base Building,Medieval,Action RTS,Procedural Generation,Military,Colorful,Stylized,Building,Survival,Physics,Combat,3D"
King Arthur: Knight's Tale,"Tactical RPG,Turn-Based Tactics,Dark Fantasy,RPG,Turn-Based Combat,Choices Matter,Grid-Based Movement,Singleplayer,Turn-Based,Strategy,PvE,Roguelite,Strategy RPG,Turn-Based Strategy,Medieval,Base Building,3D,CRPG,Isometric,Mythology"
SnowRunner - Season 8: Grand Harvest,"Action,Adventure,Simulation"
Dyson Sphere Program,"Space,Automation,Base Building,Building,Open World,Resource Management,Simulation,Sci-fi,Management,Sandbox,City Builder,Strategy,Singleplayer,Space Sim,3D,Third Person,Early Access,Indie,RTS,Casual"
Superliminal,"Puzzle,First-Person,Narration,Surreal,Physics,Psychological,Singleplayer,Thriller,Story Rich,Adventure,Funny,Exploration,Psychedelic,3D Vision,Puzzle Platformer,Minimalist,Cinematic,Dark Humor,Colorful,Stylized"
Five Nights at Freddy's,"Horror,Singleplayer,Survival Horror,Robots,Psychological Horror,Difficult,Indie,First-Person,Point & Click,Dark,Survival,Atmospheric,Mouse only,Supernatural,Resource Management,Jump Scare,Silent Protagonist,Lore-Rich,Short,Historical"
Half-Life,"FPS,Sci-fi,Classic,Multiplayer,1990's,Singleplayer,Action,Shooter,First-Person,Aliens,Silent Protagonist,Story Rich,Atmospheric,Moddable,Adventure,Retro,Action-Adventure,Gore,Difficult,PvP"
Maneater: Truth Quest,"Adventure,Action,RPG,Indie,Gore,Violent"
The Jackbox Party Pack 3,"Trivia,Local Multiplayer,Multiplayer,Casual,Funny,Board Game,Party,Party Game,Indie,Comedy,Family Friendly,Strategy,Co-op,Memes"
Stellaris: Utopia,"Strategy,Simulation,Space,Grand Strategy,Sci-fi,4X"
IL-2 Sturmovik: Battle of Stalingrad,"Simulation,Flight,World War II,Realistic,Historical,VR,Action,War,Multiplayer,Singleplayer,Military,Atmospheric,Tanks,TrackIR,First-Person,Open World,Shooter,Massively Multiplayer,Controller,FPS"
Warhammer: End Times - Vermintide,"Action,Online Co-Op,Co-op,Dark Fantasy,First-Person,Gore,Games Workshop,Multiplayer,FPS,Fantasy,Hack and Slash,Atmospheric,Action RPG,Survival,RPG,Adventure,Singleplayer,Indie,Horror,Female Protagonist"
SUPERHOT,"Action,FPS,Bullet Time,Time Manipulation,Indie,Singleplayer,First-Person,Shooter,Puzzle,Minimalist,Short,Difficult,Cyberpunk,Kickstarter,Fast-Paced,Violent,Sci-fi,Casual,Adventure,Gore"
Yu-Gi-Oh! Master Duel,"Card Game,Free to Play,Strategy,Trading Card Game,PvP,Multiplayer,Card Battler,Anime,Simulation,Turn-Based Tactics,Tactical,eSports,Survival Horror,Singleplayer,Fantasy,Dragons,PvE,3D,2D,Great Soundtrack"
Orcs Must Die! 3,"Tower Defense,Co-op,Strategy,Third-Person Shooter,PvE,Action,3D,Multiplayer,Third Person,Funny,Online Co-Op,Fantasy,Adventure,Co-op Campaign,Combat,Singleplayer,Stylized,Physics,Comedy,Cartoony"
Silica,"Strategy,RTS,Sci-fi,Early Access,Multiplayer,Singleplayer,Aliens,Shooter,PvP,Indie,Action,FPS,First-Person,Co-op,PvE,3D,Futuristic,Online Co-Op,Top-Down,Arena Shooter"
Styx: Shards of Darkness,"Action,Singleplayer,Stealth,Adventure,Atmospheric,Story Rich,Third Person,Multiplayer,Puzzle,Violent,Indie,Assassin,Gore,Open World,RPG,Parkour,Co-op,Fantasy,Dark Fantasy,Dark Humor"
Space Haven,"Base Building,Space,Colony Sim,Simulation,Strategy,Survival,Sandbox,Sci-fi,Management,City Builder,Resource Management,Indie,Building,Exploration,Open World,Space Sim,Early Access,Singleplayer,Pixel Graphics,Crafting"
,
DRAGON BALL Z: KAKAROT,"Action,RPG,Anime,Open World,Multiplayer,Fighting,Singleplayer,Story Rich,Adventure,JRPG,Controller,Great Soundtrack,Action RPG,Beat 'em up,Fantasy,Dragons,Atmospheric,Difficult,Third Person,Character Customization"
Steel Division 2,"Strategy,RTS,World War II,Military,War,Singleplayer,Simulation,Multiplayer,Indie,Historical,Tactical,Grand Strategy,Realistic,Co-op,Wargame,Turn-Based Strategy,Real-Time with Pause,Sandbox,Moddable,Replay Value"
Cooking Simulator,"Simulation,Cooking,Singleplayer,Realistic,Sandbox,Funny,Physics,First-Person,Family Friendly,Management,Relaxing,Crafting,Resource Management,Co-op,Comedy,Economy,Replay Value,Memes,Action,Female Protagonist"
Army of Ruin,"Bullet Hell,Roguelite,Top-Down,Shoot 'Em Up,3D,Casual,Action Roguelike,Action,Shooter,Medieval,Stylized,Cartoony,Colorful,Family Friendly,Procedural Generation,Fantasy,Magic,Zombies,PvE,Indie"
Dead Cells: Fatal Falls,"Action,Indie,Roguelike,Pixel Graphics,Souls-like,2D Platformer,Metroidvania,Funny,Difficult"
Stellaris: Overlord,"Strategy,Simulation,Sci-fi,Grand Strategy,4X,Moddable,Space,Singleplayer,Futuristic,Diplomacy,Exploration,RTS,Story Rich,Building,Adventure,Multiplayer,Atmospheric,Procedural Generation,Management,Real-Time with Pause"
Call of Cthulhu®,"Lovecraftian,Horror,Psychological Horror,Adventure,Atmospheric,Detective,Story Rich,Singleplayer,First-Person,Mystery,RPG,Narration,Walking Simulator,Dark,Choices Matter,Survival Horror,Stealth,Gore,FPS,Multiplayer"
Cities: Skylines - Hotels & Retreats,"Simulation,Strategy"
Plague Inc: The Cure,"Simulation,Strategy,Casual,Indie,Medical Sim,Singleplayer,Management,Post-apocalyptic"
,
The Last Spell,"Turn-Based,2D,Tactical,Singleplayer,Strategy RPG,Perma Death,Roguelite,Turn-Based Tactics,Tactical RPG,Tower Defense,Dark Fantasy,Turn-Based Strategy,RPG,Strategy,Post-apocalyptic,Pixel Graphics,Base Building,Turn-Based Combat,Fantasy,Early Access"
Yokai Art: Night Parade of One Hundred Demons,"Roguelite,Tower Defense,Sexual Content,Strategy,Real Time Tactics,Singleplayer,Casual,Roguelike,Tactical,RTS,Deckbuilding,Puzzle,Wargame,2D,Indie,Cartoon,Cute,Demons,Fantasy,Survival"
The Henry Stickmin Collection,"Funny,Multiple Endings,Choose Your Own Adventure,Memes,Comedy,Classic,Singleplayer,Choices Matter,Point & Click,2D,Epic,Hand-drawn,Family Friendly,Adventure,Indie,Action,Interactive Fiction,Casual,Parody,Old School"
Labyrinthine,"Early Access,Horror,Online Co-Op,Co-op,Psychological Horror,Puzzle,Supernatural,First-Person,Procedural Generation,Multiplayer,PvE,Atmospheric,Co-op Campaign,Action-Adventure,Character Customization,Controller,Realistic,Team-Based,Action,Lovecraftian"
Crusader Kings III: Legacy of Persia,"Strategy,RPG,Simulation"
Golf It!,"Multiplayer,Mini Golf,Golf,Casual,Sports,Funny,Early Access,Online Co-Op,Simulation,Singleplayer,Level Editor,Indie,Local Multiplayer,Sandbox,Co-op,Family Friendly,Memes,Difficult,VR,Strategy"
Super Animal Royale,"Battle Royale,Free to Play,Cute,Multiplayer,Casual,Online Co-Op,Funny,Shooter,Massively Multiplayer,Character Customization,Co-op,Top-Down Shooter,Indie,Action,PvP,Lore-Rich,Family Friendly,Survival,Colorful,Adventure"
Rust - Instruments Pack,"Indie,Massively Multiplayer,Adventure,Action,RPG,Survival,Multiplayer,Music"
Occupy Mars: The Game,"Resource Management,Space,Survival,Open World,Base Building,Simulation,Mars,Building,Crafting,Sci-fi,Sandbox,Exploration,First-Person,Singleplayer,Indie,Co-op,Early Access,Online Co-Op,FPS,Atmospheric"
Forts - Moonshot,"Strategy,Action"
SUPERHOT VR,"VR,Shooter,Bullet Time,FPS,Puzzle,Time Manipulation,First-Person,Atmospheric,Cyberpunk,Cinematic,Action,Singleplayer,Sci-fi,Minimalist,Adventure,Artificial Intelligence,Hero Shooter,Combat,Retro,Old School"
Syberia: The World Before,"Adventure,Story Rich,Puzzle,Point & Click,Steampunk,Exploration,Mystery,Female Protagonist,Cinematic,Detective,Narration,Atmospheric,Realistic,Investigation,Drama,Emotional,Singleplayer,Mature,Third Person,Historical"
Deep Rock Galactic - Decontaminator Pack,Action
House Flipper - Farm DLC,"Simulation,Casual,Indie,Building,Singleplayer,Sandbox,Economy,Life Sim,Management,Immersive Sim,Farming Sim,Farming,Horses,Nature,3D,Agriculture,Base Building,Design & Illustration,Replay Value,Family Friendly"
TOKYO GHOUL:re [CALL to EXIST],"Action,Anime,Gore,Violent,Character Customization,Singleplayer,Multiplayer,Hentai,Sexual Content,Co-op,Hack and Slash,Horror,Adventure,JRPG"
Deep Rock Galactic - Biohazard Pack,Action
KovaaK's,"Action,Shooter,Simulation,FPS,Indie,First-Person,Software Training,Singleplayer,Controller,Multiplayer"
Planet of Lana,"Female Protagonist,Anime,Puzzle Platformer,Atmospheric,Controller,2D Platformer,Singleplayer,Side Scroller,Emotional,Sci-fi,Story Rich,Drama,Hand-drawn,Cinematic,Adventure,Platformer,Family Friendly,Stylized,Colorful,Puzzle"
Terra Nil,"Nature,Strategy,Relaxing,Puzzle,City Builder,Procedural Generation,Atmospheric,Casual,Turn-Based Strategy,Isometric,2.5D,Singleplayer,Colorful,Emotional,Resource Management,Cute,Family Friendly,Stylized,Instrumental Music,Post-apocalyptic"
Beyond: Two Souls,"Adventure,Choices Matter,Story Rich,Female Protagonist,Cinematic,Singleplayer,Emotional,Sci-fi,Dynamic Narration,Quick-Time Events,Third Person,Narration,Atmospheric,Horror,Thriller,Co-op,Great Soundtrack,Beautiful,Violent,Drama"
FIVE NIGHTS AT FREDDY'S: HELP WANTED,"Horror,VR,Singleplayer,Survival Horror,Robots,First-Person,Action,Psychological Horror,Dark,Survival,Casual,Atmospheric,Difficult,Puzzle,Story Rich,Indie,Strategy,Funny,Adventure,Family Friendly"
Expansion - Hearts of Iron IV: By Blood Alone,"Strategy,Simulation,World War II,Grand Strategy,Alternate History,Nudity,Historical,Military,War,Multiplayer,Memes,Survival,Female Protagonist,Gore"
,
ROUNDS,"Multiplayer,Fighting,Local Multiplayer,2D Fighter,Deckbuilding,Action,Roguelite,Indie,Physics,Card Battler,2D,Roguelike Deckbuilder,PvP,Card Game,Platformer,Side Scroller,Party Game,2D Platformer,Arcade,Twin Stick Shooter"
Euro Truck Simulator 2 - Scandinavia,"Simulation,Driving,Realistic,Open World,Multiplayer,Singleplayer,Moddable,Atmospheric,Relaxing,Indie,Casual,Adventure,First-Person,Exploration,Economy,Great Soundtrack,Online Co-Op,Management,Free to Play,TrackIR"
Have a Nice Death,"Action Roguelike,Hack and Slash,Funny,Action,Singleplayer,2D,2D Platformer,Dark Humor,Cartoony,Cartoon,Gothic,Controller,Roguelike,Comedy,Roguelite,Early Access,Combat,Indie,Platformer,Metroidvania"
Wolcen: Lords of Mayhem,"Hack and Slash,Action RPG,Isometric,Multiplayer,RPG,Action,Loot,Adventure,Indie,Co-op,Character Customization,Dark Fantasy,Dungeon Crawler,Singleplayer,Controller,Fantasy,Top-Down,Medieval,Online Co-Op,Difficult"
The Bookwalker: Thief of Tales,"Adventure,Singleplayer,Turn-Based Tactics,Atmospheric,Noir,Isometric,Story Rich,Lore-Rich,Dark Fantasy,Surreal,Mystery,Dystopian,First-Person,Thriller,Detective,Exploration,Narration,Point & Click,Drama,Puzzle"
Punch Club,"Management,Time Management,Boxing,Pixel Graphics,Beat 'em up,RPG,2D Fighter,Fighting,Sports,Arcade,Simulation,Story Rich,Choices Matter,2D,Funny,Retro,Cartoony,Action,Atmospheric,1990's"
Ultimate Epic Battle Simulator 2,"Simulation,Action,Strategy,Sandbox,God Game,RTS,Grand Strategy,Wargame,Choose Your Own Adventure,Real Time Tactics,Exploration,3D,Hack and Slash,Cinematic,Colorful,First-Person,Realistic,Third Person,Top-Down,Artificial Intelligence"
Grim Dawn - Forgotten Gods Expansion,"RPG,Adventure,Indie,Action,Hack and Slash,Gore,Loot,Violent,Action RPG,Multiplayer,Isometric"
Remnant: From the Ashes - Subject 2923,"RPG,Action,Adventure,Violent,Souls-like"
Mindustry,"Base Building,Resource Management,Tower Defense,Strategy,Automation,Multiplayer,Sandbox,Building,Co-op,2D,Pixel Graphics,Online Co-Op,RTS,Singleplayer,PvE,Indie,PvP,Survival,Management,Action"
Ghosts of Tabor,"Early Access,Action,Shooter,Looter Shooter,Exploration,VR,Immersive Sim,Atmospheric,Dystopian,Military,Character Customization,Combat,Crafting,Inventory Management,Physics,PvE,PvP,Trading,Tutorial,Multiplayer"
Left 4 Dead,"Zombies,Co-op,Multiplayer,FPS,Action,Horror,Shooter,Online Co-Op,Survival,Team-Based,First-Person,Post-apocalyptic,Singleplayer,Atmospheric,Adventure,Moddable,Tactical,Replay Value,Competitive,Female Protagonist"
Crosshair X,"Action,Utilities,Shooter,Software,FPS,Survival"
PROJECT: PLAYTIME,"Multiplayer,Survival Horror,Horror,Puzzle,Online Co-Op,Team-Based,Romance,3D,Cute,Character Customization,First-Person,Dark,Psychological Horror,Action,Lore-Rich,Atmospheric,Exploration,Early Access,Third Person,Realistic"
Peglin,"Deckbuilding,Roguelite,Pinball,Roguelike,Perma Death,Turn-Based,Cute,Strategy,2D,Pixel Graphics,Replay Value,Turn-Based Combat,RPG,Physics,Fantasy,Singleplayer,Early Access,Retro,Indie,Casual"
The Surge 2,"Souls-like,RPG,Action,Open World,Violent,Sci-fi,Difficult,Singleplayer,Third Person,Cyberpunk,Character Customization,Multiplayer,Gore,Mechs,Hack and Slash,Action RPG,Female Protagonist,Robots,Nudity,Co-op"
Crysis Remastered,"Action,Shooter,FPS,Sci-fi,Sandbox,Stealth,Aliens,Atmospheric,Singleplayer,Futuristic,Cinematic,Adventure,Realistic,Tactical,America,First-Person,Violent,Multiplayer,Survival,Remake"
OMORI,"Psychological Horror,Story Rich,Pixel Graphics,Indie,Great Soundtrack,RPG,Multiple Endings,Hand-drawn,RPGMaker,Horror,Colorful,2D,Turn-Based,Atmospheric,Party-Based RPG,Exploration,JRPG,Anime,Stylized,Fantasy"
Hotline Miami,"Great Soundtrack,Violent,Action,Indie,Top-Down,Pixel Graphics,1980s,Fast-Paced,Gore,Retro,Psychedelic,Difficult,Singleplayer,Surreal,Shooter,2D,Top-Down Shooter,Atmospheric,Addictive,Music"
NARUTO TO BORUTO: SHINOBI STRIKER,"Anime,Action,Multiplayer,Character Customization,Fighting,Ninja,Co-op,Open World,PvP,RPG,Massively Multiplayer,Third Person,Adventure,Controller,Team-Based,Singleplayer,Online Co-Op,MMORPG,Strategy,MOBA"
Wobbly Life,"Adventure,Simulation,Action,Multiplayer,Casual,Indie,Sandbox,Open World,Co-op,Funny,Early Access,Physics,Family Friendly,Online Co-Op,Split Screen,Party,Local Multiplayer,Cute,Life Sim,4 Player Local"
Governor of Poker 3,"Gambling,Card Game,Free to Play,Multiplayer,Sports,Character Customization,Massively Multiplayer,Strategy,Western,Relaxing,Team-Based,Conversation,Casual,Resource Management,Simulation,PvP,Cartoony,Gaming,Family Friendly,Party"
Hotline Miami 2: Wrong Number,"Great Soundtrack,Gore,Pixel Graphics,Violent,Action,Fast-Paced,Difficult,Retro,Top-Down,1980s,Indie,Singleplayer,Atmospheric,Top-Down Shooter,Blood,2D,Shooter,Level Editor,Arcade,1990's"
Control Ultimate Edition,"Action,Adventure,Female Protagonist,Supernatural,Story Rich,Third Person,Sci-fi,Horror,Atmospheric,Third-Person Shooter,Singleplayer,Surreal,Psychological Horror,Shooter,Metroidvania,Open World,Epic,Violent,Difficult,Great Soundtrack"
Necromunda: Hired Gun,"Action,Adventure,Warhammer 40K,Shooter,FPS,Gore,First-Person,Singleplayer,Violent,Action-Adventure,Games Workshop,Combat,Dog,Character Customization,Female Protagonist,Looter Shooter,Cyberpunk,Open World,Nudity,Multiplayer"
Fisher Online,"Fishing,Simulation,Massively Multiplayer,Early Access,Indie"
Outlast,"Horror,First-Person,Survival Horror,Atmospheric,Gore,Psychological Horror,Survival,Singleplayer,Adventure,Dark,Action,Indie,Stealth,Nudity,Multiplayer,Parkour,Difficult,Walking Simulator,3D Vision,Sci-fi"
Last Epoch,"Action RPG,Hack and Slash,RPG,Loot,Isometric,Action,Early Access,Adventure,Indie,Multiplayer,Gore,Dungeon Crawler,Violent,Singleplayer,Top-Down,Character Customization,Fantasy,Co-op,Time Travel,Magic"
Frostpunk: On The Edge,"Strategy,Simulation,City Builder,Survival,Steampunk"
Slime Rancher,"Cute,Exploration,Adventure,Singleplayer,Open World,First-Person,Colorful,Funny,Sandbox,Simulation,Casual,Management,Fantasy,Indie,Family Friendly,Great Soundtrack,Female Protagonist,Early Access,Action,FPS"
Divinity: Original Sin - Enhanced Edition,"RPG,Turn-Based,Co-op,Adventure,Fantasy,Party-Based RPG,Strategy,Story Rich,Turn-Based Combat,Character Customization,Open World,CRPG,Singleplayer,Local Co-Op,Isometric,Multiplayer,Indie,Turn-Based Strategy,Great Soundtrack,Split Screen"
Workers & Resources: Soviet Republic,"City Builder,Economy,Strategy,Simulation,Building,Management,Early Access,Political Sim,Trains,Indie,Cold War,Transportation,Politics,Historical,Political,Realistic,Singleplayer,Choices Matter,Resource Management,Multiple Endings"
BLEACH Brave Souls,"Free to Play,Anime,RPG,Action,Multiplayer,Action RPG,Singleplayer,JRPG,Online Co-Op,Co-op,PvP,Casual,Hack and Slash,Modern,Sci-fi,Story Rich,Open World,Great Soundtrack,Mod,Automobile Sim"
Grim Dawn - Ashes of Malmouth Expansion,"RPG,Action,Adventure,Hack and Slash,Indie,Action RPG,Loot,Co-op,Lovecraftian,Dark Fantasy,Dungeon Crawler,Isometric"
Paint the Town Red,"Gore,Action,Blood,Fighting,Violent,Multiplayer,First-Person,Roguelike,Physics,Funny,Roguelite,Voxel,Beat 'em up,Singleplayer,Indie,FPS,Mature,Adventure,Difficult,Arcade"
GoreBox,"Gore,Violent,Sandbox,FPS,Stylized,Shooter,Physics,PvE,Level Editor,PvP,First-Person,3D,Voxel,Exploration,Immersive Sim,Relaxing,Action,Controller,Colorful,Atmospheric"
Nova Lands,"Automation,Sandbox,Base Building,Adventure,Open World Survival Craft,Survival,Open World,Resource Management,Pixel Graphics,Crafting,Strategy,Singleplayer,Building,Casual,2D,Exploration,Simulation,Indie,Farming Sim,RPG"
STAR WARS™: The Old Republic™,"Free to Play,Multiplayer,MMORPG,Character Customization,Open World,RPG,Story Rich,Massively Multiplayer,Choices Matter,Sci-fi,Adventure,Space,Action,Third Person,PvP,Atmospheric,Action RPG,Party-Based RPG,Great Soundtrack,CRPG"
Brewpub Simulator,"Simulation,Immersive Sim,3D,First-Person,Cooking,Realistic,America,Crafting,Economy,Management,Indie,Modern,Resource Management,Singleplayer,Life Sim,Time Management,Atmospheric"
Necesse,"Open World Survival Craft,Sandbox,Survival,Open World,Crafting,Building,Exploration,Adventure,Base Building,Multiplayer,Action,Singleplayer,RPG,Co-op,Strategy,Early Access,Online Co-Op,Replay Value,Fantasy,2D"
Arma 3 Apex,"Simulation,Action,Military,Multiplayer,Strategy,Open World,FPS,Sandbox,Tactical,Co-op,Realistic,Shooter,Singleplayer,Survival,First-Person,Online Co-Op,Third-Person Shooter,Atmospheric,Walking Simulator,RPG"
My Time At Portia,"RPG,Life Sim,Open World,Farming Sim,Crafting,Simulation,Casual,Adventure,Singleplayer,Agriculture,Building,Sandbox,Indie,Relaxing,Mining,Exploration,Survival,Cartoony,Post-apocalyptic,Female Protagonist"
Undisputed,"3D Fighter,3D,Third Person,Combat,Controller,Boxing,Fighting,Multiplayer,Sports,Realistic,Early Access,Singleplayer,Local Multiplayer,Action,eSports,Simulation,PvE,PvP,Character Customization,Immersive Sim"
Endzone - A World Apart,"City Builder,Strategy,Survival,Post-apocalyptic,Simulation,Base Building,Indie,Building,Colony Sim,Sandbox,Management,Singleplayer,Resource Management,Economy,Real-Time,Difficult,Procedural Generation,Realistic,Atmospheric,Early Access"
Graveyard Keeper,"Pixel Graphics,Crafting,RPG,Simulation,Sandbox,Management,Indie,Singleplayer,Medieval,Adventure,Building,Dark Humor,Agriculture,2D,Story Rich,Fantasy,Dark,Gore,Mystery,Violent"
Lies of P,"Souls-like,Action,Action RPG,Exploration,3D,Adventure,Dark Fantasy,Third Person,Dark,Story Rich,Atmospheric,RPG,Singleplayer,Steampunk,Multiple Endings,Choices Matter,Violent,Replay Value,Gothic,Open World"
Isonzo,"War,Indie,Simulation,Atmospheric,PvP,Realistic,Military,First-Person,Historical,World War I,FPS,Shooter,Action,Tactical,Multiplayer,Combat,Singleplayer,Strategy,Education,Cinematic"
Layers of Fear,"Psychological Horror,Horror,First-Person,Adventure,Story Rich,Exploration,Psychedelic,Atmospheric,Singleplayer,Multiple Endings,Dark,Mystery,Emotional,Immersive,Mature,Narrative,Puzzle,Interactive Fiction,Supernatural,Walking Simulator"
The Stanley Parable: Ultra Deluxe,"Multiple Endings,Comedy,Choices Matter,Walking Simulator,First-Person,Narration,Singleplayer,Funny,Exploration,3D,Psychological Horror,Adventure,Story Rich,Casual,Emotional,Mystery,Atmospheric,Dark Humor,Horror,Game Development"
Wreckfest,"Racing,Destruction,Automobile Sim,Simulation,Driving,Multiplayer,Physics,Action,Indie,Sports,Singleplayer,Realistic,Funny,Early Access,Arcade,Sandbox,Third Person,Open World,Co-op,Atmospheric"
MX Bikes,"Motocross,Motorbike,Simulation,Multiplayer,Realistic,Offroad,Racing,Moddable,eSports,VR,Automobile Sim,Controller,Early Access,Bikes,Physics,Difficult,Immersive Sim,3D,First-Person,Third Person"
Magicka 2,"Magic,Co-op,Adventure,Multiplayer,Comedy,Action,Online Co-Op,Funny,Local Co-Op,RPG,Atmospheric,Team-Based,PvP,Fantasy,Open World,Local Multiplayer,Singleplayer,Gore,Memes,Isometric"
Brewmaster: Beer Brewing Simulator,"Simulation,Crafting,Sandbox,Relaxing,First-Person,Education,Realistic,Singleplayer,Economy,Physics,Management,Immersive Sim,Indie,Cooking,Replay Value,Cozy,Wholesome,Casual,Controller,3D"
