name,tags
TerraTech,"Building,Sandbox,Open World,Open World Survival Craft,Multiplayer,Robots,Crafting,Action,Survival,Adventure,Singleplayer,Exploration,Strategy,Early Access,Indie,Physics,Third Person,Shooter,Co-op,Sci-fi"
CASE 2: Animatronics Survival,"Horror,FPS,Robots,Stealth,PvP,Psychological Horror,Action-Adventure,First-Person,Difficult,Story Rich,Simulation,Action,Multiplayer,Atmospheric,Co-op,Survival Horror,Supernatural,Adventure,Singleplayer,Massively Multiplayer"
Farming Simulator 17,"Farming Sim,Simulation,Automobile Sim,Multiplayer,Agriculture,Open World,Realistic,Economy,Driving,Moddable,Singleplayer,Management,First-Person,Co-op,Online Co-Op,Family Friendly,Third Person,Sandbox,Strategy,Great Soundtrack"
Kingdom Two Crowns: Norse Lands,"Adventure,Indie,Strategy,Simulation,Vikings"
TRAHA Global,"Combat,MMORPG,RPG,Action,Co-op,PvP,PvE,Character Customization,Open World,Party-Based RPG,Action RPG,Action-Adventure,3D,Multiplayer,Online Co-Op,Third Person,Colorful,Cinematic,War,Lore-Rich"
Talisman: Digital Edition,"Board Game,Tabletop,Strategy,Multiplayer,RPG,Indie,Turn-Based,Fantasy,Card Game,Local Multiplayer,Games Workshop,Singleplayer,Adventure,Local Co-Op,Turn-Based Strategy,Casual,Touch-Friendly,PvP,2.5D,Grid-Based Movement"
Mr. Prepper,"Survival,Simulation,Base Building,Crafting,Adventure,Management,Resource Management,Indie,Casual,RPG,Underground,Point & Click,Singleplayer,2.5D,Life Sim,Exploration,Economy,Action,Atmospheric,Realistic"
Automation - The Car Company Tycoon Game,"Simulation,Management,Building,Sandbox,Strategy,Automobile Sim,Early Access,Realistic,Crafting,Indie,Education,Moddable,Science,Singleplayer,Economy,Racing,Replay Value,Immersive Sim,Physics,Choices Matter"
Farming Simulator 19,"Simulation,Farming Sim,Multiplayer,Agriculture,Realistic,Open World,Driving,Singleplayer,Management,Automobile Sim,Moddable,Co-op,Resource Management,Relaxing,First-Person,Online Co-Op,Economy,Family Friendly,Atmospheric,Strategy"
WAVESHAPER,"Casual,Action,Indie,2D,Minimalist,Score Attack,Runner,Difficult"
In Sound Mind,"Horror,Psychological Horror,Story Rich,Puzzle,Action,Atmospheric,Singleplayer,Indie,First-Person,Shooter,Action-Adventure,FPS,Platformer,Exploration,3D Platformer,Cats,Psychedelic,Music,Hidden Object,Puzzle Platformer"
SOULCALIBUR VI,"Fighting,Action,Character Customization,Multiplayer,Fantasy,Swordplay,Arcade,Local Multiplayer,Nudity,3D Fighter,Competitive,Singleplayer,Great Soundtrack,Female Protagonist,Anime,Medieval,Sexual Content,Story Rich,Beat 'em up,RPG"
Assetto Corsa - Dream Pack 2,"Racing,Simulation,Sports,Indie"
SpaceEngine,"Early Access,Open World,Casual,Sandbox,Space,Sci-fi,Space Sim,Education,Realistic,Indie,Relaxing,Science,Atmospheric,Simulation,Colorful,Singleplayer,Procedural Generation,Exploration,Flight,3D"
NARUTO STORM 4 : Road to Boruto Expansion,"Action,Adventure,Anime,Fighting,Ninja,Multiplayer"
RUSSIAPHOBIA,"Action,Memes,Indie,Massively Multiplayer,Adventure,Comedy,RPG,Simulation,Horror,Funny,Strategy,Relaxing,Story Rich,Family Friendly,Singleplayer,Political Sim,Open World,Stylized,Idler,Action-Adventure"
Mount & Blade: Warband,"Medieval,RPG,Open World,Strategy,Sandbox,Multiplayer,Action,Moddable,Military,Adventure,Horses,Singleplayer,Realistic,First-Person,Historical,Third Person,Simulation,Hack and Slash,Fantasy,Indie"
Five Nights at Freddy's 2,"Horror,Singleplayer,Survival Horror,Robots,Psychological Horror,Difficult,First-Person,Dark,Indie,Survival,Point & Click,Strategy,Atmospheric,Story Rich,Mystery,Fast-Paced,Resource Management,Jump Scare,Historical,Perma Death"
The Walking Dead: The Final Season,"Story Rich,Choices Matter,Zombies,Adventure,Choose Your Own Adventure,Singleplayer,Female Protagonist,Post-apocalyptic,Survival,Atmospheric,Horror,Violent,Action,Drama,Gore,Episodic,Comic Book,Point & Click,Mature,LGBTQ+"
Euro Truck Simulator 2 - Cabin Accessories,"Simulation,Indie,Singleplayer,Driving,Open World,Realistic,Casual,Mod,Atmospheric,Moddable,First-Person"
Wobbledogs,"Wholesome,Dog,Sandbox,Cute,Colorful,Simulation,Family Friendly,Life Sim,Funny,Physics,Casual,Experimental,Artificial Intelligence,3D,Singleplayer,Indie,Procedural Generation,Stylized,Great Soundtrack,Early Access"
Outer Wilds - Echoes of the Eye,"Adventure,Action,Horror,Exploration,Mystery,Space,Atmospheric,Story Rich,Puzzle,Great Soundtrack,First-Person,Sci-fi,Singleplayer,Stealth,Psychological Horror,Indie"
Outlast 2,"Horror,Psychological Horror,Survival Horror,First-Person,Gore,Singleplayer,Dark,Atmospheric,Violent,Survival,Mature,Action,Nudity,Adventure,Story Rich,Sexual Content,Multiplayer,Parkour,Indie,FPS"
VA-11 Hall-A: Cyberpunk Bartender Action,"Cyberpunk,Visual Novel,Pixel Graphics,Story Rich,Female Protagonist,Dystopian,LGBTQ+,Choices Matter,Point & Click,Casual,Simulation,Anime,Memes,Transhumanism,2D,Adventure,Life Sim,Funny,Cute,Sci-fi"
Portal Knights,"Adventure,Sandbox,Multiplayer,RPG,Building,Crafting,Survival,Co-op,Action,Exploration,Singleplayer,Fantasy,Voxel,Casual,Cute,Early Access,Dungeon Crawler,Third Person,Local Co-Op,Great Soundtrack"
BATTLETECH,"Mechs,Strategy,Turn-Based Tactics,Turn-Based,Sci-fi,Turn-Based Strategy,Tactical,Action,Robots,Singleplayer,Character Customization,RPG,Space,Adventure,Multiplayer,Futuristic,Management,Story Rich,Great Soundtrack,Difficult"
Assetto Corsa - Dream Pack 1,"Simulation,Racing,Sports,Indie,Multiplayer"
Euro Truck Simulator 2 - High Power Cargo Pack,"Simulation,Indie,Driving,Multiplayer,Singleplayer,Open World,First-Person,Moddable,Management,Realistic,Adventure"
Arma 3 Tanks,"Simulation,Strategy,Action,Military,Tanks,Singleplayer"
Magicka,"Comedy,Co-op,Action,Fantasy,Online Co-Op,Magic,RPG,Multiplayer,Adventure,Funny,Local Co-Op,4 Player Local,Indie,Local Multiplayer,Difficult,Singleplayer,Team-Based,Action RPG,Arcade,Strategy"
Just Shapes & Beats,"Rhythm,Great Soundtrack,Music,Bullet Hell,Difficult,Multiplayer,2D,Indie,Action,Co-op,Singleplayer,Local Multiplayer,Local Co-Op,Online Co-Op,Fast-Paced,4 Player Local,Story Rich,Colorful,Funny,Strategy"
Children of Morta: Ancient Spirits,"Action,Adventure,RPG,Indie,Roguelite"
Baba Is You,"Puzzle,Indie,Difficult,Singleplayer,Pixel Graphics,Logic,Cute,Programming,2D,Sokoban,Great Soundtrack,Minimalist,Casual,Level Editor,Top-Down,Retro,Atmospheric,Strategy,Funny,Surreal"
Cities: Skylines - Mass Transit,"Simulation,Strategy,City Builder,Sandbox,Transportation"
Don't Starve: Hamlet,"Adventure,Indie,Simulation,Survival,Singleplayer,Multiplayer,Sandbox,Open World,Crafting,Difficult,Exploration,Moddable"
Idle Champions of the Forgotten Realms,"Dungeons & Dragons,Free to Play,Strategy,Idler,Fantasy,Clicker,Adventure,Indie,Action,Management,Singleplayer,Puzzle,Casual,RPG,2D,Loot,Dungeon Crawler,Magic,LGBTQ+,Funny"
Metel - Horror Escape,"Horror,Indie,Puzzle,3D,First-Person,Hidden Object,Survival Horror,Action,Investigation,Exploration,Survival,Story Rich,Time Manipulation,Old School,Dark,Realistic,Mystery,Linear,Singleplayer,Early Access"
The Break-In,"Early Access,Simulation,VR,Stealth,Multiplayer,Crime,Heist,Online Co-Op,Action,Funny,Horror,Exploration,Platformer,3D Platformer,Immersive Sim,Physics,Co-op,First-Person,Action-Adventure,Co-op Campaign"
Deep Rock Galactic - Rival Tech Pack,"Action,Shooter,Sci-fi,Class-Based,Loot"
The Past Within,"Co-op,Puzzle,Online Co-Op,Multiplayer,Horror,Mystery,Escape Room,Adventure,Indie,Point & Click,Psychological Horror,Local Co-Op,Local Multiplayer,Story Rich,Atmospheric,Asynchronous Multiplayer,Thriller,2D,3D,Surreal"
Tainted Grail: Conquest,"Deckbuilding,Dark Fantasy,Card Game,Roguelike,Story Rich,RPG,Turn-Based,Choices Matter,Singleplayer,Base Building,Indie,CRPG,Board Game,Replay Value,Roguelite,Card Battler,Isometric,Turn-Based Combat,Action,Survival"
Frozen Flame,"Early Access,Open World Survival Craft,Adventure,Online Co-Op,Base Building,RPG,Exploration,Open World,Action,Survival,Co-op Campaign,Sandbox,Fantasy,Colorful,PvP,Building,Dark Fantasy,Crafting,Multiplayer,Hack and Slash"
OXENFREE II: Lost Signals,"Thriller,Supernatural,Adventure,Mystery,Story Rich,Exploration,Female Protagonist,Choose Your Own Adventure,Side Scroller,Interactive Fiction,Horror,Point & Click,Walking Simulator,Choices Matter,Narrative,Visual Novel,Multiple Endings,Dark Comedy,Singleplayer,Psychological Horror"
Battle Brothers - Warriors of the North,"RPG,Indie,Strategy"
Empires of the Undergrowth,"Strategy,Simulation,Base Building,City Builder,Colony Sim,Building,Management,Survival,Sandbox,Resource Management,RTS,Moddable,Open World,Economy,Singleplayer,Crafting,Automation,2D,Early Access,Replay Value"
Mad Games Tycoon 2,"Management,Economy,Game Development,Simulation,Strategy,City Builder,Trading,Building,Programming,Capitalism,Base Building,Sandbox,Character Customization,Multiplayer,PvP,Crafting,3D,Casual,Cartoony,Cartoon"
Doomsday: Last Survivors,"Strategy,4X,Strategy RPG,Real Time Tactics,Wargame,Massively Multiplayer,2D,Zombies,Futuristic,Survival,Story Rich,RPG,Violent,Base Building,PvP,Co-op"
Tannenberg,"Gore,Team-Based,World War I,Shooter,Horror,PvP,Realistic,FPS,Action,First-Person,Historical,Multiplayer,3D,Wargame,War,Atmospheric,Indie,Simulation,Military,Strategy"
Deep Rock Galactic - Dark Future Pack,"Action,Indie"
War Selection,"Strategy,Base Building,Free to Play,RTS,Multiplayer,Military,Massively Multiplayer,War,Online Co-Op,PvP,Singleplayer,Survival,Historical,Co-op,Management,Indie,PvE,Early Access,Atmospheric,Replay Value"
FRONT MISSION 1st: Remake,"Strategy,Turn-Based Strategy,RPG,Mechs,Futuristic,Remake,3D,Realistic,Management,Sci-fi,Singleplayer,Turn-Based Tactics,Action,Military,Tactical,Tanks,Post-apocalyptic,JRPG,Funny,Robots"
MONOPOLY Poker,"Casual,Multiplayer,Free to Play,Board Game,Simulation,Gambling,Strategy,Card Game,Turn-Based Tactics,PvP,3D,2D"
Deep Rock Galactic - Supporter Upgrade,"Indie,Action,Co-op"
Unity of Command II,"Strategy,World War II,Simulation,Indie,Turn-Based,Wargame,Grand Strategy,Turn-Based Strategy,Military,Hex Grid,War,Turn-Based Combat,Historical,Singleplayer,Turn-Based Tactics,Alternate History,Tactical,Action,Multiplayer"
Goat Simulator,"Simulation,Funny,Comedy,Open World,Sandbox,Physics,Destruction,Casual,Indie,Action,Memes,Singleplayer,Third Person,Co-op,Local Multiplayer,Dark Humor,3D,Cute,Exploration,Arcade"
Killing Floor,"FPS,Zombies,Co-op,Survival,Horror,Action,Multiplayer,Online Co-Op,Gore,Shooter,Team-Based,First-Person,Survival Horror,Moddable,Great Soundtrack,Class-Based,Singleplayer,Difficult,Comedy,Adventure"
Bramble: The Mountain King,"Horror,Cinematic,Adventure,Atmospheric,Emotional,Dark Fantasy,Mythology,Dark,Narration,3D,Singleplayer,Lore-Rich,Third Person,Gore,Exploration,Survival Horror,Story Rich,Linear,Action-Adventure,3D Platformer"
Zup! S,"Puzzle,Casual,Indie,2D,Physics,Relaxing,Singleplayer,Minimalist,Short,Fast-Paced,Cute,Trading Card Game,Strategy,Logic,Psychological Horror,Difficult,Action,Education,Horror,Beautiful"
CarX Drift Racing Online - Season Pass,"Sports,Racing,Simulation,Massively Multiplayer"
No One Survived,"Early Access,Survival,Open World,Survival Horror,Zombies,Multiplayer,Exploration,Post-apocalyptic,Crafting,Third Person,Singleplayer,Adventure,3D,Co-op,Building,Online Co-Op,Sandbox,First-Person,RPG,Gore"
Streets of Rage 4,"Action,Indie,Beat 'em up,2D,Fighting,Online Co-Op,Local Multiplayer,Arcade,Side Scroller,Great Soundtrack,Multiplayer,Retro,Adventure,Local Co-Op,Co-op,Hand-drawn,Classic,Co-op Campaign,Casual,Colorful"
Doki Doki Literature Club Plus!,"Psychological Horror,Visual Novel,Anime,Dating Sim,Sexual Content,Cute,Romance,Story Rich,Multiple Endings,Gore,Singleplayer,2D,Interactive Fiction,Violent,Text-Based,Conversation,Dark Humor,Casual,Indie,Choose Your Own Adventure"
Solasta: Crown of the Magister - Lost Valley,"RPG,Strategy,Adventure,Indie,Fantasy,Class-Based,Choices Matter,Dungeons & Dragons,Singleplayer,Turn-Based Combat,Character Customization,Top-Down,Turn-Based Strategy,Story Rich,Tactical,Team-Based,CRPG,Tactical RPG,Turn-Based Tactics,Co-op Campaign"
World War 3,"FPS,Multiplayer,Shooter,Military,Tactical,War,PvP,Modern,Action,Team-Based,Realistic,Combat,First-Person,Character Customization,Gun Customization,Early Access,Atmospheric,Physics,3D,Vehicular Combat"
Doomsday Hunters,"Twin Stick Shooter,Difficult,Action Roguelike,Perma Death,Bullet Hell,Roguelite,Dungeon Crawler,Arcade,Roguelike,2.5D,Cyberpunk,Post-apocalyptic,Procedural Generation,Pixel Graphics,Action,Destruction,Singleplayer,Indie,Early Access,Gore"
The Walking Dead,"Zombies,Adventure,Story Rich,Point & Click,Episodic,Singleplayer,Choices Matter,Drama,Horror,Emotional,Mature,Atmospheric,Choose Your Own Adventure,Comic Book,Post-apocalyptic,Survival,Quick-Time Events,Gore,Action,Third Person"
Phoenix Point,"Tactical,Turn-Based Strategy,Grand Strategy,RPG,Procedural Generation,Third-Person Shooter,Strategy,Perma Death,PvE,Aliens,Character Customization,Post-apocalyptic,Third Person,First-Person,Horror,Isometric,Tutorial,Tactical RPG,Transhumanism,3D"
Your Only Move Is HUSTLE,"2D Fighter,Turn-Based Strategy,Action,Strategy,Spectacle fighter,Turn-Based Tactics,Sandbox,2D,Simulation,Pixel Graphics,Side Scroller,Anime,Solitaire,Cartoon,Cinematic,Cartoony,Colorful,Hand-drawn,Cute,Minimalist"
KARDS - The WW2 Card Game,"Free to Play,Card Game,World War II,Trading Card Game,Wargame,Board Game,Turn-Based Strategy,PvP,Strategy,Top-Down,Turn-Based Combat,Deckbuilding,Tanks,Historical,Casual,Realistic,Multiplayer,Military,War,Singleplayer"
Hunt: Showdown – Frau Perchta,"Action,Gore,Violent"
HudSight - custom crosshair overlay,"Education,Software Training,Utilities,Video Production"
Gothic 1,"RPG,Open World,Classic,Atmospheric,Singleplayer,Fantasy,Gothic,Third Person,Action,Medieval,Adventure,Story Rich,Dark Fantasy,Magic,Great Soundtrack,Action RPG,Retro,Difficult,Choices Matter,Nostalgia"
American Truck Simulator - Wyoming,"Simulation,Indie,Driving,Open World"
"Warhammer 40,000: Gladius - Firepower Pack",Strategy
The Dungeon Of Naheulbeuk: The Amulet Of Chaos,"RPG,Turn-Based Tactics,Adventure,Turn-Based,Singleplayer,Strategy,Turn-Based Strategy,Action,Character Customization,Dungeon Crawler,Indie,Funny,Difficult,Tactical,Story Rich,Sexual Content,Third Person,Fantasy,Atmospheric,Great Soundtrack"
Car Mechanic Simulator 2018,"Simulation,Automobile Sim,Driving,Building,Realistic,Racing,Singleplayer,Multiplayer,First-Person,Sandbox,Education,Crafting,Moddable,Open World,Physics,Management,Great Soundtrack,Strategy,Memes,Co-op"
Serious Sam: Siberian Mayhem,"Action,Adventure,Shooter,First-Person,3D,Atmospheric,Dark,Old School,Horror,Sci-fi,Combat,Online Co-Op,Linear,Singleplayer,FPS,Fantasy,Demons,Difficult,Gore,Violent"
Way of the Hunter,"Adventure,Shooter,Hunting,Exploration,FPS,Realistic,3D,First-Person,Colorful,Nature,Relaxing,America,Open World,Stealth,Controller,Gun Customization,Singleplayer,Multiplayer,Co-op,Online Co-Op"
Evil West,"Beat 'em up,Action-Adventure,Western,Co-op,Third-Person Shooter,Character Action Game,Demons,Story Rich,Vampire,Action,Gore,Multiplayer,Singleplayer,Online Co-Op,Hack and Slash,Violent,Third Person,Shooter,RPG,Adventure"
Beholder 2,"Strategy,Dystopian,Choices Matter,Simulation,Political Sim,Story Rich,Singleplayer,Atmospheric,Political,Multiple Endings,Dark,Politics,Addictive,Point & Click,2D,Lore-Rich,Adventure,Indie,Violent,Psychological Horror"
Half-Life: Source,"FPS,Action,Classic,Sci-fi,Singleplayer,First-Person,Shooter,Aliens,1990's,Zombies,Story Rich,Adventure,Remake,Atmospheric,Multiplayer,Silent Protagonist,Horror,Great Soundtrack,Moddable,Gore"
LISA: The Painful,"Dark Humor,RPG,Story Rich,Post-apocalyptic,Great Soundtrack,Indie,Choices Matter,Psychological Horror,Dark,Pixel Graphics,RPGMaker,Adventure,Funny,Singleplayer,2D,Atmospheric,Comedy,Horror,Side Scroller,Platformer"
